Tax Time Lodgment Page test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Participant No.,CustomID,IP Address,Date Started,Date Completed,User Agent,Total Time Spent,Avg Time Taken,Avg Page Views,1. Task. Task panel instructions,1. Task. Task panel instructions - Page Views,1. Task. Task panel instructions - Time Spent,2. Task. Task 1: Choosing a lodgment method,2. Task. Task 1: Choosing a lodgment method - Page Views,2. Task. Task 1: Choosing a lodgment method - Time Spent,9. Task. Task 2: Finding info on next steps,9. Task. Task 2: Finding info on next steps - Page Views,9. Task. Task 2: Finding info on next steps - Time Spent,"* Indicates required answers Please respond to the following based on the task you just completed. * ""I found it easy to find the right lodgment method.""","* ""I feel confident acting on the information on the website.""","* ""I found the content easy to read and understand.""",* Which lodgment method did you choose?,"Other, please specify",* What were your reasons for choosing that lodgment method?,Is there anything you would improve on this design?,"Please respond to the following based on the task you just completed: * ""Based on the information I found I would know what to do to submit my tax return.""","Based on this task, what would be the best method to lodge online?",Other,"Thank you for completing the session tasks, we have some quick questions to get your feedback about the overall experience you had today: How satisfied did you feel using this website?",I trust the information on the website.,I would use this section of the ato.gov.au website in the future.,I found it easy to find the information I was looking for.,The content and language was easy to understand.,Give us your feedback on how we can improve the tax time lodgment pages.,* Are you an ATO employee?,* Which of the following best describes you?,"Other, please specify (2)",Which age group do you belong to?
Participant 228,,180.149.192.139,11/05/17 7:52,11/05/17 8:00,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,462 secs,28,2,success,1,14,success,2,31,success,3,39,Neither agree nor disagree,Neither agree nor disagree,Agree,myTax,,"It appeared to be the most appropriate option for me to lodge, but I found the leading question confusing (this could just be me, the question didn't apply to my situation)","I think the design is good, there's a lot of negative space and it's not too clustered. My only criticism (and again, this is a personal thing) I find the different fonts distracting.",Agree,myTax,,Satisfied,Agree,Agree,Agree,Agree,"The lead in page is ""Lodging your tax return"" the heading on the page is ""Lodge online with myTax"" the next section is ""Lodge your tax return online with my tax"" and then the button to actually do that is ""start your tax return with myTax"". They all mean the same thing, but don't say the same thing. It could be confusing...",Yes,Individual,,26-45
Participant 230,,180.149.192.135,11/05/17 7:55,11/05/17 8:02,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,383 secs,55,2,success,1,25,success,4,83,fail,1,57,Agree,Neither agree nor disagree,Agree,myTax,,It stated that if I had rental properties I could use mytax.,,Agree,myTax,,Satisfied,Neither agree nor disagree,Agree,Agree,Agree,,Yes,Individual,,26-45
Participant 231,,180.149.192.132,11/05/17 7:58,11/05/17 8:05,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,389 secs,92.3,1.3,success,1,12,success,2,54,fail,1,211,Agree,Agree,Agree,myTax,,seems easiest.,no,Strongly agree,myTax,,Satisfied,Agree,Agree,Agree,Agree,,Yes,"Individual, Sole trader/self-employed",,46-65
Participant 232,,180.149.192.139,11/05/17 7:59,11/05/17 8:11,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,673 secs,74,1.7,success,1,41,fail,3,132,fail,1,49,Agree,Agree,Agree,myTax,,Have used it before and it has the prefill function,No,Agree,myTax,,Satisfied,Agree,Agree,Agree,Agree,,Yes,Individual,,46-65
Participant 233,,180.149.192.139,11/05/17 8:01,11/05/17 8:08,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,411 secs,56.3,1,success,1,30,fail,1,114,fail,1,25,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,myTax,,test test test,,Neither agree nor disagree,myTax,,Neither satisfied nor dissatisfied,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Yes,Individual,,46-65
Participant 235,,60.230.87.188,11/05/17 8:14,11/05/17 8:19,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",337 secs,19.3,1,success,1,30,fail,1,11,fail,1,17,Agree,Agree,Agree,myTax,,Easy and free,'Lodgment' is a horrible word. Why not 'Choose how to lodge',Agree,myTax,,Satisfied,Agree,Agree,Agree,Agree,,No,Small business,,46-65
Participant 236,,180.149.192.135,11/05/17 8:17,11/05/17 8:39,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1336 secs,126.3,3.3,success,2,44,success,4,124,success,4,211,Disagree,Neither agree nor disagree,Neither agree nor disagree,Tax agent,,I was looking for information on deductions for a rental property and schedules that need completing. The options provided on the webpage didn't indicate whether mytax would be an appropriate method of lodgement. Therefore I chose a tax agent lodgement.,I was looking for more detail about income and deductions for investment properties up front to see if it was going to be a complicated process to use Mytax to lodge or whether a tax agent lodgement was going to benefit me overall,Agree,myTax,,Satisfied,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,"Put the ""who can use mytax"" upfront as changes to this service can occur from year to year eg business schedules",Yes,Individual,,46-65
Participant 237,,180.149.192.135,11/05/17 8:19,11/05/17 8:27,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,482 secs,69.3,1.3,success,1,23,success,2,91,fail,1,94,Agree,Agree,Agree,myTax,,myTax now has rental property schedules,a decision making tool not just to decide if I have to do a return but if I know I need to do one will myTax work for me,Agree,myTax,,Satisfied,Agree,Agree,Agree,Agree,,Yes,Individual,,26-45
Participant 238,,180.149.192.132,11/05/17 8:20,11/05/17 8:25,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,269 secs,25.7,1.7,success,2,26,success,2,29,fail,1,22,Agree,Agree,Neither agree nor disagree,Tax agent,,I would use myTax if I did not have to claim investment property deductions etc. however if I have to claim investment property deductions I would prefer to use an experienced Tax Agent who is much more knowledgeable on what to claim etc.,,Agree,myTax,,Satisfied,Strongly agree,Agree,Neither agree nor disagree,Agree,,Yes,Individual,,26-45
Participant 239,,180.149.192.136,11/05/17 8:21,11/05/17 10:02,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,6043 secs,1928.7,1.3,success,1,8,success,2,714,fail,1,5064,Agree,Agree,Agree,myTax,,Online and Easy,Looks good and is consistent with the current ATO design.,Neither agree nor disagree,myTax,,Satisfied,Agree,Agree,Agree,Neither agree nor disagree,Direct links from the ATO Home Page (possibly already there just cannot navigate to check with the BETA),Yes,Individual,,
Participant 240,,180.149.192.135,11/05/17 8:22,11/05/17 8:26,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,246 secs,18.7,1,success,1,9,fail,1,26,fail,1,21,Agree,Agree,Agree,myTax,,first box,,Agree,myTax,,Neither satisfied nor dissatisfied,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,,Yes,Individual,,46-65
Participant 243,,180.149.192.135,11/05/17 8:29,11/05/17 8:34,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,261 secs,41.7,2.7,success,1,20,fail,3,38,success,4,67,Agree,Agree,Agree,myTax,,An understanding of myTax based on previous years.,,Agree,myTax,,Satisfied,Agree,Agree,Agree,Agree,,Yes,Individual,,26-45
Participant 247,,180.149.192.139,11/05/17 8:41,11/05/17 8:58,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1060 secs,15.7,1,success,1,22,fail,1,10,fail,1,15,Neither agree nor disagree,Agree,Strongly agree,I'd rather not say,,n/a,"The 3 different methods of lodgement have very different looks to them and are all navigated differently. myTax has little information at the top and a number of drop down information boxes that explain each heading. Tax agents just have all of the information up front, and paper returns have myTax information and then paper return options. this seems to be clunky and doesn't really flow across all 3 types of lodgement. Also the demographic that would lodge via paper are either unwilling or unable to lodge online so the myTax messaging doesn't seem to take the customer experience for this audience segment into account.",Disagree,myTax,,Neither satisfied nor dissatisfied,Strongly agree,Neither agree nor disagree,Disagree,Strongly agree,"Include more information on myTax up-front, those new to lodging with myTax want to know as much information as possible so that they can be assured that they are making the right choice.",Yes,Individual,,26-45
Participant 248,,180.149.192.139,11/05/17 8:43,11/05/17 8:55,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,730 secs,49.7,2,success,1,20,success,2,60,fail,3,69,Neither agree nor disagree,Agree,Agree,Tax agent,,Chose the lodgement method because I do not have the knowledge on what to claim or to complete on the tax return and would rather pay someone who knows what they are doing.,Maybe advise clients that if they find their tax affairs complicated using a Tax Agent may be beneficial to them,Agree,myTax,,Satisfied,Agree,Agree,Agree,Agree,"Having used online lodging before and not being the greatest with computers I have found the process intuitive and easy to do, as prefill completes most information for a simple return. My only feedback would be to advise clients that they should wait a month or two to lodge as it takes some time for all prefill information.",Yes,Individual,,46-65
Participant 249,,180.149.192.136,11/05/17 8:49,11/05/17 8:56,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,385 secs,78,2.3,success,3,120,fail,1,9,fail,3,105,Agree,Agree,Agree,Submit a paper lodgment,,wanted to test for those that don't have mygov account,,Agree,myTax,,Very satisfied,Strongly agree,Strongly agree,Agree,Agree,,Yes,Small business,,46-65
Participant 250,,180.149.192.135,11/05/17 8:50,11/05/17 8:55,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,325 secs,41.7,1,success,1,27,fail,1,62,fail,1,36,Strongly disagree,Agree,Agree,myTax,,,,Agree,myTax,,Satisfied,Agree,Agree,Agree,Agree,You only gave me one page to critic - the one to start my tax return so I cannot comment on any other pages,Yes,Individual,,46-65
Participant 251,,180.149.192.135,11/05/17 8:51,11/05/17 8:57,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,359 secs,35,2,success,1,18,fail,3,45,fail,2,42,Strongly agree,Strongly agree,Strongly agree,myTax,,"Previous experience, and do not want to pay a tax agent or wait longer for my refund",No - it was very clear.,Strongly agree,myTax,,Very satisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Nothing to provide at this moment. Very clear language.,Yes,Individual,,46-65
Participant 252,,180.149.192.139,11/05/17 9:00,11/05/17 9:07,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,464 secs,104.3,2.7,success,1,132,success,4,98,success,3,83,Agree,Agree,Agree,myTax,,quick and easy,,Strongly agree,myTax,,Satisfied,Strongly agree,Strongly agree,Agree,Agree,,Yes,Individual,,46-65
Participant 254,,180.149.192.135,11/05/17 9:05,11/05/17 9:14,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,532 secs,25.7,1,success,1,28,fail,1,22,fail,1,27,Neither agree nor disagree,Disagree,Neither agree nor disagree,Tax agent,,It is too complicated to keep track of deductions and I am unaware of genuine tax concessions available to reduce my tax liability,,Agree,myTax,,Neither satisfied nor dissatisfied,Agree,Agree,Disagree,Neither agree nor disagree,Genuine tax concessions available for honest people who unlike bigger organisation have employed accountants lawyers to avoid their genuine tax liability.,Yes,Individual,,46-65
Participant 255,,180.149.192.132,11/05/17 9:06,11/05/17 9:21,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,925 secs,103,2,success,1,48,success,2,198,fail,3,63,Neither agree nor disagree,Agree,Agree,Tax agent,,"Due to the complexity of the scenario, owning several homes etc",The design looks good,Neither agree nor disagree,myTax,,Satisfied,Agree,Neither agree nor disagree,Agree,Agree,myGov/myTax maybe the definition could be a little more obvious - particularly for first time users.,Yes,Individual,,46-65
Participant 257,,180.149.192.135,11/05/17 9:09,11/05/17 9:18,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,571 secs,65,1.7,success,1,23,fail,3,145,fail,1,27,Disagree,Neither agree nor disagree,Neither agree nor disagree,myTax,,"I don't want to use paper, and I don't want to pay a tax agent.","It wasn't obvious that there was more to the page, ie. that I needed to scroll down to find the 'Choose a lodgment type' options. I almost just clicked on the 'Start your tax return with myTax' green button.",Agree,myTax,,Neither satisfied nor dissatisfied,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Yes,Individual,,26-45
Participant 262,,180.149.192.136,11/05/17 9:14,11/05/17 9:19,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,323 secs,31.3,1,success,1,13,fail,1,55,fail,1,26,Agree,Neither agree nor disagree,Agree,myTax,,"Because I always lodge my return myself, and have used myTax before.",,Agree,myTax,,Neither satisfied nor dissatisfied,Agree,Agree,Agree,Agree,,Yes,Individual,,26-45
Participant 263,,218.214.255.58,11/05/17 9:17,11/05/17 9:29,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393",695 secs,74.3,2.7,success,1,24,abandon,4,120,success,3,79,Strongly disagree,Strongly disagree,Strongly disagree,,I didn't. I abondoned the task.,I don't like clicking through a series of screens to find the information I am looking for. It takes too long.,"Rather than making people choose between 3 buttons to start the process, maybe have a summary table so that they can at least be pointed in the right direction without losing 1/2 hour clicking between screens and trying to remember what each one said.",Neither agree nor disagree,myTax,,Very dissatisfied,Neither agree nor disagree,Strongly disagree,Strongly disagree,Disagree,"People are busy, they don't want to spend time wading through information. Initially they need due dates and a summary of their options including the benefits of each (not least being that Tax Agents know more about tax law than they do - because that is their job).",No,Sole trader/self-employed,,26-45
Participant 264,,129.127.179.72,11/05/17 9:19,11/05/17 9:26,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",371 secs,35.3,1.7,success,1,15,fail,3,55,fail,1,36,Agree,Agree,Agree,myTax,,"The ""Find out more"" section of Lodge online with myTax said that it was appropriate for those with CGT and rental schedules.","I would create a button saying ""How should I lodge"" with all the information in there. E.g. if situation X applies to you, you can use method A or B.",Agree,myTax,,Satisfied,Agree,Strongly agree,Agree,Agree,,No,Individual,,26-45
Participant 265,,101.166.153.61,11/05/17 9:20,11/05/17 9:25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",329 secs,43.3,1,success,1,21,fail,1,86,fail,1,23,Strongly disagree,Strongly disagree,Neither agree nor disagree,myTax,,"Only ""call to action"" button before the fold.","If the site is meant to present choices, those choices should be visible before the fold.",Neither agree nor disagree,myTax,,Dissatisfied,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Help me identify what kind of user I am and what I should choose.,No,"Sole trader/self-employed, Small business",,26-45
Participant 267,,180.149.192.135,11/05/17 9:21,11/05/17 9:27,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,362 secs,45.7,1.7,success,1,9,fail,3,73,fail,1,55,Agree,Agree,Agree,myTax,,"It was the first lodgment option, and when I viewed who can use myTax, it said everyone",It would be better if I could put in information about my personal circumstances in and you tell me what lodgment method to use,Agree,myTax,,Satisfied,Agree,Agree,Agree,Agree,,Yes,Individual,,26-45
Participant 270,,180.149.192.135,11/05/17 9:26,11/05/17 9:30,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,262 secs,40.3,1,success,1,66,fail,1,34,fail,1,21,Agree,Neither agree nor disagree,Agree,myTax,,that i used this method before,no,Neither agree nor disagree,,mygov,Neither satisfied nor dissatisfied,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Yes,Individual,,46-65
Participant 274,,180.149.192.132,11/05/17 9:28,11/05/17 9:32,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,269 secs,31.3,2,success,2,21,fail,1,29,fail,3,44,Agree,Agree,Agree,myTax,,The option was easy to locate an allows the user to lodge online,,Agree,myTax,,Satisfied,Agree,Agree,Agree,Agree,,Yes,Individual,,26-45
Participant 275,,180.149.192.139,11/05/17 9:29,11/05/17 9:34,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,276 secs,26.7,1,success,1,7,fail,1,48,fail,1,25,Agree,Agree,Agree,myTax,,I'm confident that I could lodge this type of return correctly myself due to my background.,,Agree,myTax,,Satisfied,Agree,Agree,Agree,Agree,,Yes,Individual,,26-45
Participant 278,,180.149.192.132,11/05/17 9:31,11/05/17 9:38,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,406 secs,32.3,1.3,success,1,28,fail,1,42,fail,2,27,Neither agree nor disagree,Neither agree nor disagree,Agree,myTax,,It is the first button listed,"Maybe the terminology should be your 'preferred' lodgment method, not 'most suitable'. After all, keeping a client focus means letting our clients choose what suits them.",Neither agree nor disagree,myTax,,Neither satisfied nor dissatisfied,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,"The instructions you provided were a little presumptive that the client would understand where to go and what to do. I would ask someone who has never used this tool before (and either is new to the ATO or doesn't work here) to try it, and then review the instructions.",Yes,Individual,,26-45
Participant 280,,180.149.192.135,11/05/17 9:31,11/05/17 9:39,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,466 secs,64,1.7,success,1,75,fail,1,43,success,3,74,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,myTax,,There were no instructions when we cannot use myTax,No,Neither agree nor disagree,myTax,,Neither satisfied nor dissatisfied,Agree,Neither agree nor disagree,,Agree,Icons that are easily visible and accessible to come on to the correct options,Yes,Large business,,26-45
Participant 281,,180.149.192.139,11/05/17 9:32,11/05/17 9:45,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,802 secs,211.3,1,success,1,536,fail,1,85,fail,1,13,Agree,Agree,Agree,myTax,,I know it has the tools for me to do this,,Agree,myTax,,Satisfied,Agree,Disagree,Agree,Agree,,Yes,Individual,,26-45
Participant 289,,58.170.0.24,11/05/17 9:43,11/05/17 9:51,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,432 secs,44.3,1.3,success,1,25,fail,1,43,fail,2,65,Agree,Agree,Agree,myTax,,I can lodge the return my self without having to use a tax agent,"It states how to lodge your return if you have done it before, but not if it is your first time. I would include details for first time lodgers",Agree,myTax,,Satisfied,Agree,Agree,Neither agree nor disagree,Agree,,No,Tax agent,,46-65
Participant 290,,58.166.89.116,11/05/17 9:44,11/05/17 9:51,"Mozilla/5.0 (iPad; CPU OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1",408 secs,59,2,success,1,35,success,2,75,success,3,67,Agree,Neither agree nor disagree,Agree,myTax,,"Any person should be able to do their own tax, if they feel confident enough.  My Tax should step them thru the process.",,Agree,myTax,,Satisfied,Strongly agree,Strongly agree,,Strongly agree,,No,Individual,,46-65
Participant 291,,180.149.192.136,11/05/17 9:45,11/05/17 10:01,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,976 secs,100.3,1.3,success,1,33,success,2,191,fail,1,77,Disagree,Agree,Agree,myTax,,it listed business and professional items as able to be completed as part of that lodgment method.,I found the 'Start your tax return with myTax' button distracting. I think the information about the different lodgment types should be above that.,Strongly agree,myTax,,Satisfied,Agree,Agree,Neither agree nor disagree,Agree,A bit more information is needed before the Start your return with myTax' button is displayed. It could distract people and lead them to believe that is the method for all return types.,Yes,Individual,,46-65
Participant 293,,180.149.192.139,11/05/17 9:57,11/05/17 10:41,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,2635 secs,820.3,2.3,success,4,2422,success,2,24,fail,1,15,Agree,Agree,Agree,Submit a paper lodgment,,I prefer paper,Not making paper so easily accessible,Agree,myTax,,Satisfied,Agree,Agree,Agree,Agree,,Yes,Individual,,46-65
Participant 294,,180.149.192.139,11/05/17 9:58,11/05/17 10:06,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,500 secs,64.3,1.3,success,1,17,fail,1,55,fail,2,121,Strongly agree,Strongly agree,Agree,myTax,,I've used myTax before,,Agree,myTax,,Neither satisfied nor dissatisfied,Agree,Agree,Disagree,Agree,"For the first task I did not realise that there was more information down the page, hence why I opted to lodge via myTax. I accidentally discovered this. Might pay to have ""additional information available below"" messages or the like.",Yes,Individual,,46-65
Participant 296,,180.149.192.139,11/05/17 10:05,11/05/17 10:16,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,665 secs,60,1.7,success,1,32,fail,3,87,fail,1,61,Agree,Agree,Strongly agree,myTax,,The information I found under who can lodge with myTax said myTax was now suitable for those with rental property schedules.,"I would make it clearer that rental property schedules are now treated in myTax by haveing that and any other new functions highlighted as its own subject rather than under a ""who can use myTax option"".",Strongly agree,myTax,,Satisfied,Agree,Strongly agree,Agree,Agree,"Perhaps a coupe of options such as ""I have a myGov account - start my tax return"", ""I want to use myTax but don't have a myGov account""",Yes,Individual,,46-65
Participant 299,,61.69.81.218,11/05/17 10:13,11/05/17 10:23,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,629 secs,108,2.3,success,1,40,fail,3,224,success,3,60,Strongly disagree,Strongly disagree,Strongly disagree,,That was not the question,I could not find where to find out whether one method was better than another for the situation,Everything. Or the question could have been clearer,Agree,myTax,,Dissatisfied,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,,No,Small business,,46-65
Participant 300,,180.149.192.134,11/05/17 10:13,11/05/17 10:18,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,312 secs,25.7,1.7,success,1,12,fail,3,54,fail,1,11,Disagree,Disagree,Disagree,myTax,,Prefer to lodge myself,"use wording from the first person ""Lodge my tax return"" Update my details, create my myGov account",Agree,myTax,,Neither satisfied nor dissatisfied,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,"Write things from the readers perspective, not your perspective telling us",No,Individual,,26-45
Participant 301,,203.11.225.5,11/05/17 10:22,11/05/17 10:27,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",280 secs,28.7,1,success,1,28,fail,1,44,fail,1,14,Disagree,Disagree,Agree,myTax,,Nothing else looked like what I was looking for (which was an explanation of what you might need to do if your tax affairs are not straightforward),,Agree,myTax,,Neither satisfied nor dissatisfied,Agree,Disagree,Disagree,Agree,,No,Individual,,26-45
Participant 302,,180.149.192.139,11/05/17 10:36,11/05/17 10:47,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,676 secs,38.7,1.3,success,1,25,success,2,58,fail,1,33,Neither agree nor disagree,Agree,Agree,myTax,,I don't use an agent and I thought paper lodgments were a thing of the past and encouraged to use on-line services,maybe hover help,Agree,myTax,,Satisfied,Agree,Neither agree nor disagree,Agree,Agree,for previous users of on-line service provide a quicker path i.e provide mygov link on landing page,Yes,Individual,,46-65
Participant 306,,180.149.192.139,11/05/17 11:20,11/05/17 14:49,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,12573 secs,45.3,1.7,abandon,1,58,success,2,47,fail,2,31,Agree,Agree,Agree,Tax agent,,Complex tax matters,,Agree,myTax,,Satisfied,Agree,Agree,Agree,Agree,Icon of myGov should be included in the tab under myTax for easy identification,Yes,Individual,,26-45
Participant 308,,180.149.192.135,11/05/17 11:39,11/05/17 11:44,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,309 secs,39.7,2,success,1,30,success,2,45,success,3,44,Strongly agree,Strongly agree,Strongly agree,myTax,,"I found ""rental property schedule"" available under MyTax (I also work for the ATO)",,Strongly agree,myTax,,Satisfied,Agree,Agree,Agree,Agree,,Yes,Individual,,46-65
Participant 310,,1.41.172.88,11/05/17 11:44,11/05/17 11:50,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",349 secs,47.7,1.7,success,1,41,success,2,56,fail,2,46,Disagree,Neither agree nor disagree,Neither agree nor disagree,Tax agent,,Most people would not understand the property investment obligations in a tax return,,Agree,myTax,,Neither satisfied nor dissatisfied,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,No,Tax agent,,46-65
Participant 316,,54.79.85.81,11/05/17 12:17,11/05/17 12:24,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,415 secs,53,1.7,success,1,25,fail,3,88,fail,1,46,Agree,Strongly agree,Strongly agree,myTax,,Easiest method of lodgment,"It would be helpful to have the list of who can use each method on the first page, rather than having to guess which one to go into before seeing whether it is available for the individual's situation.",Strongly agree,myTax,,Satisfied,Strongly agree,Strongly agree,Agree,Strongly agree,,No,Tax agent,,26-45
Participant 319,,180.149.192.135,11/05/17 12:29,11/05/17 12:32,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,198 secs,25,2,success,1,17,success,2,29,fail,3,29,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Tax agent,,mytax is for simple returns and paper is being phased out.,More information on front of page explaining each option,Strongly disagree,myTax,,Satisfied,Agree,Agree,Agree,Agree,,Yes,Individual,,26-45
Participant 320,,180.149.192.136,11/05/17 12:29,11/05/17 12:32,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,201 secs,26,1.7,success,1,11,fail,3,55,fail,1,12,Neither agree nor disagree,Strongly agree,Agree,myTax,,"Assumption - I couldn't find a question ""which method of lodgement is best for my circumstances""",which method of lodgement is best for my circumstances - redirect to survey,Strongly agree,myTax,,Satisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Yes,Individual,,18-25
Participant 324,,101.167.226.85,11/05/17 12:48,11/05/17 12:57,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,558 secs,161,3.7,success,1,20,fail,5,396,success,5,67,Neither agree nor disagree,Agree,Agree,myTax,,"When I clicked on find out more, it discussed having the appropriate rental schedules. Obviously any method is fine to do, but will depend on what information you have or could obtain.","Not specifically, as noted, any method would be fine, but will depend on your knowledge and what information you have or could obtain.",Agree,myTax,,Satisfied,Agree,Agree,Neither agree nor disagree,Agree,"Fine for people who have a greater understanding of tax, but not for those that don't, but this is never going to be an easy matter.",No,Small business,,26-45
Participant 332,,180.149.192.136,11/05/17 13:42,11/05/17 13:46,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,194 secs,28.7,1.7,success,1,10,fail,3,56,fail,1,20,Agree,Agree,Agree,Tax agent,,Due to the nature of the tax affairs,n/a,Agree,myTax,,Satisfied,,Agree,Agree,Agree,n/a,Yes,Individual,,26-45
